Asset,n,Regime,Average Return,Volatility,Sharpe Ratio,Max Drawdown
S&P 500_asset,42,2,0.012446575968524711,0.04485794746306615,0.27746646185210805,-0.6867021654638837
S&P 500_asset,42,3,-0.00252384785624872,0.058674109260305855,-0.04301467696853731,-0.4651431373397179
S&P 500_asset,42,4,-0.004108567537044167,0.08618624901020859,-0.04767080113392005,-0.8522488122032386
Gold,48,1,0.009762223582244897,0.058760924716252466,0.16613461461651913,-0.5216417910447763
Gold,48,2,0.0049492991638005876,0.05259670073897109,0.09409904222630157,-0.4697999559459643
Gold,48,3,-0.001610745386364994,0.06538311470132896,-0.024635494863205935,-0.45040000000000013
Gold,48,4,0.018279679399905543,0.04578272442721677,0.39927024065519995,-0.08439716312056732
Bonds,48,1,0.002418319791594141,0.020044971669410546,0.12064470987926597,-0.22031324771363145
Bonds,48,2,0.007158607485694801,0.017227621071871292,0.4155308185517933,-0.060356614278666565
Bonds,48,3,0.0061736801834764155,0.01978919578622208,0.3119722625501914,-0.07381168986186121
Bonds,48,4,0.009143004114009937,0.0166364032360169,0.5495781740981027,-0.042217466112719676
S&P 500_asset,48,1,0.00574617055858728,0.04182658670922091,0.13738081470847116,-0.46741746871765105
S&P 500_asset,48,2,0.01227659944403899,0.04360746543148406,0.2815251774567809,-0.5241248817407758
S&P 500_asset,48,3,-0.0043064967309876774,0.05584687739683543,-0.0771125787461074,-0.5774708391266338
S&P 500_asset,48,4,0.0008081889353743358,0.08632381709221139,0.009362293774741513,-0.7708670918688773
Gold,60,1,0.005010204042554034,0.05652263947579112,0.08864065954846155,-0.723475827130828
Gold,60,2,0.00650568961556484,0.05046934511507673,0.1289037850745044,-0.42246520874751486
Gold,60,3,0.016739614825171497,0.06952795506998805,0.24076092570709307,-0.29970825839081483
Gold,60,4,0.014980211704386943,0.049574617328272064,0.302175034558337,-0.12332214765100687
Bonds,60,1,0.0034959447996498966,0.020616019675876777,0.16957418816109165,-0.2011146443327252
Bonds,60,2,0.006540866737655344,0.016985529711767047,0.38508464844190493,-0.06291390728476844
Bonds,60,3,0.004480622680810931,0.018084023852276393,0.24776690837238174,-0.08849439112876818
Bonds,60,4,0.009953673633107145,0.016218502051682158,0.6137233636860295,-0.024608774855585967
S&P 500_asset,60,1,0.007252161449249266,0.04502242349922289,0.16107887771466683,-0.5563575769609617
S&P 500_asset,60,2,0.008679437901979465,0.04342048114780701,0.19989271589215976,-0.5097352915310877
S&P 500_asset,60,3,5.317837401085028e-05,0.04925471853929953,0.001079660499296532,-0.4857844218247582
S&P 500_asset,60,4,0.0033111697183791236,0.10078488226754682,0.03285383327222812,-0.6845216645216644
Gold,120,1,0.01322083639774552,0.06638728500219164,0.19914711676052216,-0.5313432835820897
Gold,120,2,0.0011375289371065227,0.041328259062874996,0.02752424038418691,-0.4116265810424462
Gold,120,3,0.013557491133149696,0.08365470289433019,0.16206490088519068,-0.25823557692307714
Gold,120,4,0.02693317720369113,0.047415476355650084,0.5680250262946422,-0.05844417573559043
Bonds,120,1,0.0025204021185554204,0.02128959028612313,0.11838659573445412,-0.20111464433272522
Bonds,120,2,0.00635406691469888,0.016524272277089306,0.38452930381138256,-0.08276465473606344
Bonds,120,3,-0.00023192166260530694,0.024524481095895855,-0.009456740866338607,-0.08309745620722156
Bonds,120,4,0.014709504167368203,0.017871261902523507,0.8230814504090028,-0.017807867242658988
S&P 500_asset,120,1,0.004946232789902442,0.043958532701858496,0.11252042518000888,-0.6236504063781224
S&P 500_asset,120,2,0.01021989614605062,0.04431570339555929,0.23061568164288052,-0.5162409334594764
S&P 500_asset,120,3,-0.007314524393917776,0.06774552013130479,-0.10797059908523426,-0.6829555734328255
S&P 500_asset,120,4,0.00662426084679978,0.09562411585454032,0.06927395654958365,-0.49462537334518564
Gold,180,1,0.011304948099336496,0.06916074762184136,0.16345902102085327,-0.5313432835820897
Gold,180,2,0.0051643680619363076,0.04404468696783213,0.11725291783111284,-0.5343779553095303
Bonds,180,1,0.002395167075271463,0.022556443075452175,0.10618549508269262,-0.2011146443327253
Bonds,180,2,0.00666859473031214,0.016457986660463324,0.4051889740761526,-0.09696253097605956
S&P 500_asset,180,1,0.0036372877621478673,0.046208082800779725,0.07871540089273063,-0.5860111655029264
S&P 500_asset,180,2,0.01059769651798676,0.04863619543533979,0.2178973174839723,-0.6937874487543363
S&P 500_asset,180,3,0.002830283981704839,0.03982597034579205,0.07106629059206042,-0.4063597980389601
S&P 500_asset,180,4,-0.018870226313128246,0.10849970045760525,-0.17391961667674397,-0.762458795284964
