DateTime,Total Return Bond Index
01.04.1937 00:00,
01.05.1937 00:00,
01.06.1937 00:00,
01.07.1937 00:00,
01.08.1937 00:00,
01.09.1937 00:00,
01.10.1937 00:00,
01.11.1937 00:00,
01.12.1937 00:00,
01.01.1938 00:00,41.5416323
01.02.1938 00:00,
01.03.1938 00:00,
01.04.1938 00:00,
01.05.1938 00:00,
01.06.1938 00:00,
01.07.1938 00:00,
01.08.1938 00:00,
01.09.1938 00:00,
01.10.1938 00:00,
01.11.1938 00:00,
01.12.1938 00:00,
01.01.1939 00:00,43.1777706
01.02.1939 00:00,
01.03.1939 00:00,
01.04.1939 00:00,
01.05.1939 00:00,
01.06.1939 00:00,
01.07.1939 00:00,
01.08.1939 00:00,
01.09.1939 00:00,
01.10.1939 00:00,
01.11.1939 00:00,
01.12.1939 00:00,
01.01.1940 00:00,44.2502587
01.02.1940 00:00,
01.03.1940 00:00,
01.04.1940 00:00,
01.05.1940 00:00,
01.06.1940 00:00,
01.07.1940 00:00,
01.08.1940 00:00,
01.09.1940 00:00,
01.10.1940 00:00,
01.11.1940 00:00,
01.12.1940 00:00,
01.01.1941 00:00,46.5799691
01.02.1941 00:00,
01.03.1941 00:00,
01.04.1941 00:00,
01.05.1941 00:00,
01.06.1941 00:00,
01.07.1941 00:00,
01.08.1941 00:00,
01.09.1941 00:00,
01.10.1941 00:00,
01.11.1941 00:00,
01.12.1941 00:00,
01.01.1942 00:00,48.2218743
01.02.1942 00:00,
01.03.1942 00:00,
01.04.1942 00:00,
01.05.1942 00:00,
01.06.1942 00:00,
01.07.1942 00:00,
01.08.1942 00:00,
01.09.1942 00:00,
01.10.1942 00:00,
01.11.1942 00:00,
01.12.1942 00:00,
01.01.1943 00:00,50.7085679
01.02.1943 00:00,
01.03.1943 00:00,
01.04.1943 00:00,
01.05.1943 00:00,
01.06.1943 00:00,
01.07.1943 00:00,
01.08.1943 00:00,
01.09.1943 00:00,
01.10.1943 00:00,
01.11.1943 00:00,
01.12.1943 00:00,
01.01.1944 00:00,54.6785718
01.02.1944 00:00,
01.03.1944 00:00,
01.04.1944 00:00,
01.05.1944 00:00,
01.06.1944 00:00,
01.07.1944 00:00,
01.08.1944 00:00,
01.09.1944 00:00,
01.10.1944 00:00,
01.11.1944 00:00,
01.12.1944 00:00,
